SentimentTextID	SentenceTextID	SentenceTextLine	SentimentTextLabel	SentimentTextScoreConfPositive	SentimentTextScoreConfNeutral	SentimentTextScoreConfNegative
13	27	The Candidate faithfully performs workspace tasks.	positive	0.72	0.27	0.01
13	28	The Candidate can be depended on to do what they are asked to do.	neutral	0.01	0.98	0.01
14	29	The Candidate seeks responsibilities and follows through.	neutral	0.11	0.88	0.01
14	30	The Candidate is thoughtful in interactions with others.	positive	1	0	0
14	31	The Candidate has a well-developed vocabulary.	positive	0.97	0.02	0.01
14	32	The Candidate chooses words with care.	positive	0.98	0.02	0
15	33	The Candidate expresses ideas clearly, both verbally and through writing.	positive	0.42	0.25	0.33
15	34	The Candidate has a vibrant imagination and excels in creative writing.	positive	0.97	0.03	0
16	35	The Candidate has found their voice through poetry writing.	neutral	0.22	0.72	0.06
16	36	The Candidate uses vivid language in writing.	neutral	0.4	0.54	0.06
17	37	The Candidate writes clearly and with purpose.	neutral	0.34	0.53	0.13
17	38	The Candidate writes with depth and insight.	positive	0.69	0.27	0.04
17	39	The Candidate can make a logical and persuasive argument.	positive	0.42	0.29	0.29
17	40	The Candidate listens to the comments and ideas of others without interrupting.	positive	0.87	0.11	0.02
18	41	The Candidate offers constructive suggestions to peers to enhance their work.	positive	0.9	0.1	0
18	42	The Candidate accepts the recommendations of peers and acts on them when appropriate.	neutral	0.43	0.55	0.02
19	43	The Candidate is sensitive to the thoughts and opinions of others in the group.	neutral	0.03	0.95	0.02
19	44	The Candidate takes on various roles in the work group as needed or assigned.	neutral	0.09	0.89	0.02
19	45	The Candidate welcomes leadership roles in groups.	positive	0.79	0.21	0
19	46	The Candidate shows fairness in distributing group tasks.	positive	0.59	0.37	0.04
20	47	The Candidate plans and carries out group activities carefully.	neutral	0.34	0.63	0.03
20	48	The Candidate works democratically with peers.	positive	0.57	0.39	0.04
20	49	The Candidate encourages other members of the group.	positive	0.73	0.26	0.01
20	50	The Candidate helps to keep the work group focused and on task.	positive	1	0	0
20	51	The Candidate has a well-developed sense of humor.	positive	1	0	0
21	52	The Candidate holds many varied interests.	positive	0.99	0.01	0
21	53	The Candidate has a keen interest that has been shared with the team.	positive	1	0	0
22	54	The Candidate displays and talks about personal items from home when they relate to topics of study.	neutral	0.09	0.9	0.01
22	55	The Candidate provides background knowledge about topics of particular interest to them.	positive	0.92	0.08	0
23	56	The Candidate has an impressive understanding and depth of knowledge about their interests.	positive	1	0	0
24	57	The Candidate seeks additional information independently about workspace topics that pique interest.	positive	0.56	0.43	0.01
25	58	The Candidate reads extensively for enjoyment.	positive	0.97	0.02	0.01
25	59	The Candidate frequently discusses concepts about which they have read.	positive	0.5	0.41	0.09
26	60	The Candidate is a gifted performer.	positive	0.71	0.28	0.01
26	61	The Candidate is a talented artist.	positive	1	0	0
26	62	The Candidate has a flair for dramatic reading and acting.	positive	0.64	0.33	0.03
26	63	The Candidate enjoys sharing their musical talent with the team.	positive	1	0	0
27	64	The Candidate listens attentively to the responses of others.	positive	0.63	0.35	0.02
27	65	The Candidate follows directions.	neutral	0.19	0.79	0.02
28	66	The Candidate takes an active role in discussions.	neutral	0.25	0.73	0.02
28	67	The Candidate enhances group discussion through insightful comments.	positive	0.99	0.01	0
29	68	The Candidate shares personal experiences and opinions with peers.	neutral	0.42	0.56	0.02
29	69	The Candidate responds to what has been read or discussed in team and as homework.	neutral	0.2	0.75	0.05
29	70	The Candidate asks for clarification when needed.	neutral	0.23	0.74	0.03
30	71	The Candidate regularly volunteers to assist in workspace activities.	positive	0.8	0.2	0
30	72	The Candidate remains an active learner throughout the work day.	neutral	0.15	0.84	0.01
31	73	The Candidate makes friends quickly in the workspace.	positive	0.82	0.17	0.01
31	74	The Candidate is well-liked by teammates.	positive	1	0	0
32	75	The Candidate handles disagreements with peers appropriately.	negative	0.03	0.02	0.95
32	76	The Candidate treats other Candidates with fairness and understanding.	positive	0.74	0.23	0.03
33	77	The Candidate is a valued member of the team.	positive	0.99	0.01	0
33	78	The Candidate has compassion for peers and others.	positive	0.97	0.03	0
33	79	The Candidate seems comfortable in new situations.	positive	0.99	0.01	0
34	80	The Candidate enjoys conversation with friends during free periods.	positive	0.97	0.03	0
34	81	The Candidate chooses to spend free time with friends.	positive	0.97	0.02	0.01
35	82	The Candidate tackles workspace assignments, tasks, and group work in an organized manner.	neutral	0.16	0.83	0.01
35	83	The Candidate uses team time wisely.	positive	0.91	0.08	0.01
35	84	The Candidate arrives on time for work (and/or team) every day.	neutral	0.36	0.63	0.01
36	85	The Candidate is well-prepared for team each day.	positive	0.99	0.01	0
36	86	The Candidate works at an appropriate pace, neither too quickly or slowly.	positive	0.49	0.41	0.1
36	87	The Candidate completes assignments in the time allotted.	positive	0.64	0.34	0.02
37	88	The Candidate paces work on long-term assignments.	neutral	0.05	0.93	0.02
37	89	The Candidate sets achievable goals with respect to time.	positive	0.85	0.15	0
37	90	The Candidate completes make-up work in a timely fashion.	neutral	0.38	0.62	0
38	91	The Candidate is a conscientious, hard-working Candidate.	negative	0.45	0.07	0.48
38	92	The Candidate works independently.	positive	0.82	0.16	0.02
38	93	The Candidate is a self-motivated Candidate.	positive	0.85	0.03	0.12
38	94	The Candidate consistently completes homework assignments.	positive	0.64	0.34	0.02
39	95	The Candidate puts forth their best effort into homework assignments.	positive	0.99	0.01	0
39	96	The Candidate exceeds expectations with the quality of their work.	positive	0.96	0.03	0.01
39	97	The Candidate readily grasps new concepts and ideas.	positive	0.65	0.34	0.01
39	98	The Candidate generates neat and careful work.	positive	1	0	0
40	99	The Candidate checks work thoroughly before submitting it.	positive	0.77	0.18	0.05
40	100	The Candidate stays on task with little supervision.	neutral	0.47	0.52	0.01
41	101	The Candidate displays self-discipline.	neutral	0.06	0.92	0.02
41	102	The Candidate avoids careless errors through attention to detail.	negative	0.01	0	0.99
42	103	The Candidate uses free minutes of team time constructively.	positive	0.95	0.05	0
42	104	The Candidate creates impressive home projects.	positive	0.93	0.07	0
